id,topic_id,difficulty_level_id,question_type_id,question_text,correct_answer,metadata_json,source,is_active,created_at
0493e45e-1907-5949-bd6a-ba80538f0ab5,b3f4ed34-8079-5086-994e-d97ecdb5c328,2a2480b8-9781-5acf-b722-7d10d43e8700,686f9664-3bff-5a10-af34-06391408d1da,Which fraction is equal to one half?,2/4,"{""topic_name"":""Fractions"",""subject_id"":""c37f63b6-e0e0-56cf-9338-2369a2600b83"",""subject_name"":""Math"",""seed_version"":""2026-06-22""}",human_created,True,2026-06-22T12:00:00+00:00
b52b4210-e901-5fcd-9569-a4daaae80558,b3f4ed34-8079-5086-994e-d97ecdb5c328,3328ed40-62bf-5fb9-a82f-50c64bf13ee7,784e7999-826a-5bad-a92e-2963159fa1ab,Write a short answer that shows understanding of Fractions.,A correct answer should use the main idea of Fractions.,"{""topic_name"":""Fractions"",""subject_id"":""c37f63b6-e0e0-56cf-9338-2369a2600b83"",""subject_name"":""Math"",""seed_version"":""2026-06-22""}",imported,True,2026-06-22T12:00:00+00:00
c81d580a-8c58-5c48-94e9-f92361fdac88,b3f4ed34-8079-5086-994e-d97ecdb5c328,e4583409-abaf-5cb7-9aef-ad43098d82a6,dc34faa7-ca45-535b-a53b-b71512a2cfc8,Practicing Fractions can help strengthen classroom understanding.,true,"{""topic_name"":""Fractions"",""subject_id"":""c37f63b6-e0e0-56cf-9338-2369a2600b83"",""subject_name"":""Math"",""seed_version"":""2026-06-22""}",imported,True,2026-06-22T12:00:00+00:00
4d0d5935-f658-5361-ab67-9361f6ad9c43,c1bbf5dc-d811-509f-874f-e9e41a3f8962,2a2480b8-9781-5acf-b722-7d10d43e8700,686f9664-3bff-5a10-af34-06391408d1da,How many sides does a rectangle have?,4,"{""topic_name"":""Geometry"",""subject_id"":""c37f63b6-e0e0-56cf-9338-2369a2600b83"",""subject_name"":""Math"",""seed_version"":""2026-06-22""}",human_created,True,2026-06-22T12:00:00+00:00
af9e133d-32ca-567f-9803-39cc4ac5cc2e,c1bbf5dc-d811-509f-874f-e9e41a3f8962,3328ed40-62bf-5fb9-a82f-50c64bf13ee7,784e7999-826a-5bad-a92e-2963159fa1ab,Write a short answer that shows understanding of Geometry.,A correct answer should use the main idea of Geometry.,"{""topic_name"":""Geometry"",""subject_id"":""c37f63b6-e0e0-56cf-9338-2369a2600b83"",""subject_name"":""Math"",""seed_version"":""2026-06-22""}",imported,True,2026-06-22T12:00:00+00:00
7e40030b-c1e0-5460-8fd1-f205fdcc931a,c1bbf5dc-d811-509f-874f-e9e41a3f8962,e4583409-abaf-5cb7-9aef-ad43098d82a6,dc34faa7-ca45-535b-a53b-b71512a2cfc8,Practicing Geometry can help strengthen classroom understanding.,true,"{""topic_name"":""Geometry"",""subject_id"":""c37f63b6-e0e0-56cf-9338-2369a2600b83"",""subject_name"":""Math"",""seed_version"":""2026-06-22""}",imported,True,2026-06-22T12:00:00+00:00
96708596-e8e3-5883-9aa9-f6eb02a09d9a,faca4653-ed63-552f-a9b2-20760cbf2d80,2a2480b8-9781-5acf-b722-7d10d43e8700,686f9664-3bff-5a10-af34-06391408d1da,Which answer best matches the topic 'Word problems'?,the main idea,"{""topic_name"":""Word problems"",""subject_id"":""c37f63b6-e0e0-56cf-9338-2369a2600b83"",""subject_name"":""Math"",""seed_version"":""2026-06-22""}",human_created,True,2026-06-22T12:00:00+00:00
c5641d52-e2fc-5991-870b-0f42ab063a76,faca4653-ed63-552f-a9b2-20760cbf2d80,3328ed40-62bf-5fb9-a82f-50c64bf13ee7,784e7999-826a-5bad-a92e-2963159fa1ab,Write a short answer that shows understanding of Word problems.,A correct answer should use the main idea of Word problems.,"{""topic_name"":""Word problems"",""subject_id"":""c37f63b6-e0e0-56cf-9338-2369a2600b83"",""subject_name"":""Math"",""seed_version"":""2026-06-22""}",imported,True,2026-06-22T12:00:00+00:00
4d899a2e-f045-5836-b5a7-fd9f511e0245,faca4653-ed63-552f-a9b2-20760cbf2d80,e4583409-abaf-5cb7-9aef-ad43098d82a6,dc34faa7-ca45-535b-a53b-b71512a2cfc8,A word problem should be read carefully before choosing the operation.,true,"{""topic_name"":""Word problems"",""subject_id"":""c37f63b6-e0e0-56cf-9338-2369a2600b83"",""subject_name"":""Math"",""seed_version"":""2026-06-22""}",imported,True,2026-06-22T12:00:00+00:00
a59d9a56-822c-5b64-93ce-62e8d0946f5a,dfb71247-0ffa-569c-965c-9ff56159c7d1,2a2480b8-9781-5acf-b722-7d10d43e8700,686f9664-3bff-5a10-af34-06391408d1da,Which answer best matches the topic 'Reading comprehension'?,the main idea,"{""topic_name"":""Reading comprehension"",""subject_id"":""19f9382c-c3e6-5c61-8e0b-e42a53ba49ed"",""subject_name"":""Hebrew"",""seed_version"":""2026-06-22""}",human_created,True,2026-06-22T12:00:00+00:00
23b13ce6-e12a-5f23-85ad-45d53ad14fa4,dfb71247-0ffa-569c-965c-9ff56159c7d1,3328ed40-62bf-5fb9-a82f-50c64bf13ee7,784e7999-826a-5bad-a92e-2963159fa1ab,Write a short answer that shows understanding of Reading comprehension.,A correct answer should use the main idea of Reading comprehension.,"{""topic_name"":""Reading comprehension"",""subject_id"":""19f9382c-c3e6-5c61-8e0b-e42a53ba49ed"",""subject_name"":""Hebrew"",""seed_version"":""2026-06-22""}",imported,True,2026-06-22T12:00:00+00:00
